0
reach_diff
height_diff
age_diff
wins_diff
losses_diff
win_streak_diff
lose_streak_diff
title_bouts_diff
KO_wins_diff
sub_wins_diff
sig_str_pct_diff
td_pct_diff
kd_diff
ctrl_time_diff
sub_att_diff
R_head_acc
R_body_acc
R_leg_acc
B_head_acc
B_body_acc
B_leg_acc
R_stance
B_stance
title_bout
